report_id,case_id,title,filename,source_type,filing_date,officer
RPT056,C056,Financial Report for Case 56,FINANCIAL_C056.txt,Financial,2026-02-20,Officer 21
RPT057,C057,Financial Report for Case 57,FINANCIAL_C057.txt,Financial,2026-06-28,Officer 19
RPT058,C058,Surveillance Report for Case 58,SURVEILLANCE_C058.txt,Surveillance,2026-06-03,Officer 06
RPT059,C059,FIR Report for Case 59,FIR_C059.txt,FIR,2026-01-05,Officer 03
RPT060,C060,Intelligence Report for Case 60,INTELLIGENCE_C060.txt,Intelligence,2026-04-09,Officer 08
RPT061,C061,Surveillance Report for Case 61,SURVEILLANCE_C061.txt,Surveillance,2026-08-25,Officer 05
RPT062,C062,Intelligence Report for Case 62,INTELLIGENCE_C062.txt,Intelligence,2026-08-02,Officer 23
RPT063,C063,Financial Report for Case 63,FINANCIAL_C063.txt,Financial,2026-05-28,Officer 19
RPT064,C064,Surveillance Report for Case 64,SURVEILLANCE_C064.txt,Surveillance,2026-03-08,Officer 14
RPT065,C065,Financial Report for Case 65,FINANCIAL_C065.txt,Financial,2026-06-09,Officer 24
RPT066,C066,Surveillance Report for Case 66,SURVEILLANCE_C066.txt,Surveillance,2026-05-09,Officer 23
RPT067,C067,Surveillance Report for Case 67,SURVEILLANCE_C067.txt,Surveillance,2026-04-17,Officer 03
RPT068,C068,FIR Report for Case 68,FIR_C068.txt,FIR,2026-02-11,Officer 04
RPT069,C069,Financial Report for Case 69,FINANCIAL_C069.txt,Financial,2026-07-20,Officer 16
RPT070,C070,Financial Report for Case 70,FINANCIAL_C070.txt,Financial,2026-02-22,Officer 25
RPT071,C071,Financial Report for Case 71,FINANCIAL_C071.txt,Financial,2026-04-20,Officer 04
RPT072,C072,Financial Report for Case 72,FINANCIAL_C072.txt,Financial,2026-04-06,Officer 12
RPT073,C073,Surveillance Report for Case 73,SURVEILLANCE_C073.txt,Surveillance,2026-06-01,Officer 16
RPT074,C074,Surveillance Report for Case 74,SURVEILLANCE_C074.txt,Surveillance,2026-08-08,Officer 20
RPT075,C075,FIR Report for Case 75,FIR_C075.txt,FIR,2026-06-06,Officer 15
RPT076,C076,Financial Report for Case 76,FINANCIAL_C076.txt,Financial,2026-04-05,Officer 05
RPT077,C077,Financial Report for Case 77,FINANCIAL_C077.txt,Financial,2026-05-23,Officer 08
RPT078,C078,Surveillance Report for Case 78,SURVEILLANCE_C078.txt,Surveillance,2026-04-19,Officer 04
RPT079,C079,Financial Report for Case 79,FINANCIAL_C079.txt,Financial,2026-08-26,Officer 24
RPT080,C080,Intelligence Report for Case 80,INTELLIGENCE_C080.txt,Intelligence,2026-07-06,Officer 11
RPT081,C081,FIR Report for Case 81,FIR_C081.txt,FIR,2026-04-08,Officer 16
RPT082,C082,Financial Report for Case 82,FINANCIAL_C082.txt,Financial,2026-01-14,Officer 01
RPT083,C083,Financial Report for Case 83,FINANCIAL_C083.txt,Financial,2026-06-25,Officer 23
RPT084,C084,Financial Report for Case 84,FINANCIAL_C084.txt,Financial,2026-01-10,Officer 24
RPT085,C085,Surveillance Report for Case 85,SURVEILLANCE_C085.txt,Surveillance,2026-05-02,Officer 20
RPT086,C086,Intelligence Report for Case 86,INTELLIGENCE_C086.txt,Intelligence,2026-03-17,Officer 22
RPT087,C087,Intelligence Report for Case 87,INTELLIGENCE_C087.txt,Intelligence,2026-06-24,Officer 06
RPT088,C088,Financial Report for Case 88,FINANCIAL_C088.txt,Financial,2026-08-24,Officer 17
RPT089,C089,Surveillance Report for Case 89,SURVEILLANCE_C089.txt,Surveillance,2026-04-28,Officer 19
RPT090,C090,Intelligence Report for Case 90,INTELLIGENCE_C090.txt,Intelligence,2026-07-25,Officer 01
RPT091,C091,Surveillance Report for Case 91,SURVEILLANCE_C091.txt,Surveillance,2026-06-28,Officer 21
RPT092,C092,Intelligence Report for Case 92,INTELLIGENCE_C092.txt,Intelligence,2026-04-13,Officer 24
RPT093,C093,FIR Report for Case 93,FIR_C093.txt,FIR,2026-01-12,Officer 17
RPT094,C094,Financial Report for Case 94,FINANCIAL_C094.txt,Financial,2026-03-27,Officer 18
RPT095,C095,Surveillance Report for Case 95,SURVEILLANCE_C095.txt,Surveillance,2026-03-25,Officer 14
RPT096,C096,Surveillance Report for Case 96,SURVEILLANCE_C096.txt,Surveillance,2026-02-14,Officer 23
RPT097,C097,Intelligence Report for Case 97,INTELLIGENCE_C097.txt,Intelligence,2026-01-03,Officer 12
RPT098,C098,FIR Report for Case 98,FIR_C098.txt,FIR,2026-04-28,Officer 12
RPT099,C099,Surveillance Report for Case 99,SURVEILLANCE_C099.txt,Surveillance,2026-08-24,Officer 21
RPT100,C100,FIR Report for Case 100,FIR_C100.txt,FIR,2026-04-27,Officer 25
