vehicle_id,plate_number,make_model,color,registered_owner,vehicle_type
V067,WB85LK8801,Honda City,Red,P018,SUV
V068,WB57EW9835,Hyundai i20,Red,P281,Motorcycle
V069,WB81XU8126,Toyota Innova,Red,P234,SUV
V070,WB45PR4721,Maruti Swift,Blue,P466,SUV
V071,WB53IE5973,Maruti Swift,White,P188,Motorcycle
V072,WB98EL5698,Honda City,Red,P418,Car
V073,WB63YP5908,Maruti Swift,Blue,P353,SUV
V074,WB30ZA9981,Tata Nexon,Black,P306,SUV
V075,WB72NM5094,Hyundai i20,Blue,P452,SUV
V076,WB34CN4924,Toyota Innova,Red,P113,Motorcycle
V077,WB35JU9715,Tata Nexon,Blue,P351,Car
V078,WB09FE5744,Maruti Swift,Blue,P437,Motorcycle
V079,WB35WT9060,Hyundai i20,Silver,P232,Car
V080,WB07RA4046,Maruti Swift,Silver,P078,SUV
V081,WB92OX1134,Hyundai i20,White,P065,Car
V082,WB64GK7885,Tata Nexon,Blue,P008,SUV
V083,WB90ZB6410,Maruti Swift,Black,P238,Car
V084,WB51CR8702,Hyundai i20,Black,P137,SUV
V085,WB49AD5078,Honda City,Blue,P419,Car
V086,WB05GO2539,Toyota Innova,Black,P378,SUV
V087,WB88JK3598,Maruti Swift,Red,P200,Motorcycle
V088,WB33PU5895,Hyundai i20,Silver,P063,Car
V089,WB86GD4866,Honda City,Silver,P443,Car
V090,WB36SD7484,Hyundai i20,White,P086,Car
V091,WB89PW3539,Tata Nexon,White,P298,Car
V092,WB64CV6544,Maruti Swift,White,P081,SUV
V093,WB20WR2759,Hyundai i20,Blue,P331,Car
V094,WB72ZU6690,Honda City,Black,P163,Car
V095,WB49LX3207,Tata Nexon,White,P353,SUV
V096,WB57RJ9892,Honda City,Black,P362,Motorcycle
V097,WB70LK8674,Tata Nexon,Red,P096,Motorcycle
V098,WB09QE8362,Tata Nexon,Silver,P083,Motorcycle
V099,WB59AY9289,Honda City,Black,P188,Car
V100,WB47YT4912,Tata Nexon,White,P318,Motorcycle
V101,WB69MG9586,Honda City,Red,P496,Car
V102,WB37KN6276,Maruti Swift,White,P314,Motorcycle
V103,WB09BE3926,Maruti Swift,Black,P338,Car
V104,WB25DB7366,Honda City,Red,P249,Motorcycle
V105,WB76IB7002,Hyundai i20,Red,P360,Motorcycle
V106,WB02GU9051,Maruti Swift,Blue,P037,Motorcycle
V107,WB47RX7814,Tata Nexon,White,P032,Motorcycle
V108,WB68BX2153,Tata Nexon,White,P137,Car
V109,WB67DD4784,Toyota Innova,Blue,P492,Car
V110,WB68VH3931,Toyota Innova,Red,P099,SUV
V111,WB14YU6864,Honda City,Blue,P383,Car
V112,WB24RM9268,Tata Nexon,Black,P086,Motorcycle
V113,WB57LK6319,Tata Nexon,Blue,P308,Motorcycle
V114,WB93KT4943,Toyota Innova,Red,P221,Car
V115,WB99RX5162,Tata Nexon,Blue,P193,SUV
V116,WB51AX1567,Tata Nexon,Red,P492,Car
V117,WB18JA5920,Hyundai i20,Black,P266,SUV
V118,WB99WI9376,Toyota Innova,Red,P012,Motorcycle
V119,WB13BO6827,Hyundai i20,Black,P080,SUV
V120,WB75HH5198,Tata Nexon,White,P188,Motorcycle
V121,WB73GX2264,Tata Nexon,Blue,P205,Car
V122,WB89WS2562,Toyota Innova,Silver,P250,Car
V123,WB74MC1916,Tata Nexon,Silver,P375,SUV
V124,WB16YH1187,Honda City,White,P214,SUV
V125,WB06KR3450,Tata Nexon,Red,P269,Motorcycle
V126,WB20BV7436,Honda City,Red,P114,Motorcycle
V127,WB12HN5747,Honda City,Black,P259,Car
V128,WB11PS1807,Toyota Innova,Blue,P173,SUV
V129,WB52QN3136,Hyundai i20,Blue,P044,Motorcycle
V130,WB63MU4212,Toyota Innova,Red,P102,Motorcycle
V131,WB32HC5362,Honda City,Silver,P269,Motorcycle
V132,WB74CD7776,Honda City,Silver,P474,SUV
V133,WB42LT1396,Tata Nexon,Black,P098,SUV
V134,WB57TE8216,Maruti Swift,Black,P316,Car
V135,WB48EY2405,Maruti Swift,White,P351,Car
V136,WB80EJ1225,Tata Nexon,White,P486,SUV
V137,WB61AK4424,Toyota Innova,Black,P231,Car
V138,WB67YI9991,Honda City,Red,P280,Motorcycle
V139,WB89WV1301,Honda City,Red,P073,Motorcycle
V140,WB06IF1984,Tata Nexon,Black,P270,Motorcycle
V141,WB35BO1136,Maruti Swift,Blue,P317,Motorcycle
V142,WB85VL2767,Maruti Swift,Silver,P139,Motorcycle
V143,WB30MQ2631,Tata Nexon,Blue,P198,Motorcycle
V144,WB12FG9202,Honda City,Red,P273,Motorcycle
V145,WB06HQ5995,Tata Nexon,Blue,P012,SUV
V146,WB21AL6765,Tata Nexon,Silver,P382,Car
V147,WB36ZB5221,Honda City,White,P257,Motorcycle
V148,WB36HE6599,Honda City,Black,P486,Car
V149,WB49QV4726,Honda City,Black,P374,Motorcycle
V150,WB55JT6395,Honda City,Red,P079,Car
